CHR	CHUNK	TSNP	FROM	TO
1	67	47800845	47800328	48514643
1	68	48514963	48514795	49246300
1	69	49246883	49246305	50209272
1	70	50210124	50209376	51135302
1	71	51136102	51135355	51964483
1	72	51964705	51964498	52778672
1	73	52779069	52778711	53544050
1	74	53544439	53544108	54219484
1	75	54219981	54219652	54930970
1	76	54931396	54931041	55541174
1	77	55541896	55541253	56185610
1	78	56185826	56185663	56884318
1	79	56884341	56884341	57557620
1	80	57557792	57557788	58222346
1	81	58222516	58222359	58925553
1	82	58925663	58925597	59595078
1	83	59595215	59595131	60272401
1	84	60272522	60272522	60995294
1	85	60996437	60995349	61732041
1	86	61732088	61732043	62447163
1	87	62447302	62447179	63164948
1	88	63165652	63164959	63865663
1	89	63866686	63866020	64607211
1	90	64607328	64607328	65371908
1	91	65372052	65372052	66166680
1	92	66166733	66166688	66904304
1	93	66905141	66904317	67610462
1	94	67610639	67610550	68301844
1	95	68302024	68301856	69002834
1	96	69003522	69002944	69774296
1	97	69774337	69774337	70519176
1	98	70519533	70519259	71320664
1	99	71320836	71320753	72111911
1	100	72112761	72111966	72904123
1	101	72904244	72904238	73631412
1	102	73631558	73631449	74363688
1	103	74363988	74363716	75090967
1	104	75091063	75091063	75851510
1	105	75851517	75851511	76571575
1	106	76571682	76571635	77268350
1	107	77270618	77268391	78002912
1	108	78003085	78002964	78875972
1	109	78876209	78876078	79517154
1	110	79517457	79517189	80155092
1	111	80155982	80155164	80823244
1	112	80824630	80823256	81432641
1	113	81432941	81432710	82068245
1	114	82068510	82068309	82768547
1	115	82768823	82768630	83427808
1	116	83429664	83427978	84237429
1	117	84237442	84237442	85007638
1	118	85007684	85007684	85727095
1	119	85727218	85727103	86477518
1	120	86477708	86477561	87196642
1	121	87197698	87196692	87923397
1	122	87923526	87923526	88645965
1	123	88646155	88646002	89415576
1	124	89416516	89415596	90146025
1	125	90146759	90146060	90942365
1	126	90942808	90942797	91691932
1	127	91692335	91691948	92399685
1	128	92400107	92399711	93223953
1	129	93224190	93224039	94080820
1	130	94080997	94080843	94769189
1	131	94769368	94769190	95469442
1	132	95470308	95469473	96244524
1	133	96244947	96244535	96986165
1	134	96986415	96986207	97744470
1	135	97745158	97744502	98510501
1	136	98512127	98510527	99244165
1	137	99244281	99244281	99933651
1	138	99933653	99933653	100665685
1	139	100666435	100665713	101382092
1	140	101382165	101382165	102051906
1	141	102052957	102051915	102699738
1	142	102699810	102699788	103298376
1	143	103299040	103298388	104160737
1	144	104163266	104160771	104935840
1	145	104936209	104935846	105488183
1	146	105488455	105488207	106046429
1	147	106046599	106046530	106663548
1	148	106663706	106663549	107310701
1	149	107312642	107310797	108024315
1	150	108024868	108024556	108726186
1	151	108726246	108726246	109678475
1	152	109678875	109678740	110436506
1	153	110437185	110437043	111165356
1	154	111165855	111165487	111866013
1	155	111866621	111866144	112550435
1	156	112550542	112550465	113236824
1	157	113237171	113236834	114039903
1	158	114040078	114040078	114829255
1	159	114831946	114829315	115625875
1	160	115626071	115625979	116290716
1	161	116290727	116290727	116994999
1	162	117002636	116995022	117748526
1	163	117750686	117748571	118467517
1	164	118467639	118467535	119218261
1	165	119219144	119218279	119942367
1	166	119942377	119942377	121154321
1	167	121160302	121154382	145395618
1	168	145397942	145395697	146819008
1	169	146819023	146819023	147818941
1	170	147819610	147819116	150129998
1	171	150130081	150130081	150982716
1	172	150983147	150982925	151783110
1	173	151783324	151783159	152501299
1	174	152501423	152501337	153104521
1	175	153105819	153104547	153777848
1	176	153779089	153777930	154634568
1	177	154634998	154634570	155487372
1	178	155491413	155487382	156380043
1	179	156381130	156380079	157103888
1	180	157104470	157103916	157728915
1	181	157730028	157729036	158361656
1	182	158362298	158361700	158959544
1	183	158959672	158959575	159683744
1	184	159684186	159683791	160385625
1	185	160386082	160385651	161022853
1	186	161023296	161023073	161820846
1	187	161820904	161820852	162512378
1	188	162514036	162512506	163203095
1	189	163203129	163203116	163870575
1	190	163871898	163870630	164566965
1	191	164567092	164567092	165215258
1	192	165215269	165215260	165876776
1	193	165877575	165876900	166540306
1	194	166540400	166540400	167204740
1	195	167205270	167204783	167864816
1	196	167864968	167864897	168552972
1	197	168553057	168553057	169193519
1	198	169193553	169193553	169873074
1	199	169873570	169873206	170615647
1	200	170615660	170615660	171293799
1	201	171294643	171294027	171999624
1	202	172000305	171999882	172751001
1	203	172752690	172751013	173550748
1	204	173552529	173550979	174436824
1	205	174438354	174436832	175210711
1	206	175210887	175210814	175849936
1	207	175850724	175850011	176629728
1	208	176630416	176630145	177417157
1	209	177417225	177417190	178115757
1	210	178116492	178115846	178925610
1	211	178925659	178925659	179603140
1	212	179603264	179603164	180330410
1	213	180330595	180330444	181051539
1	214	181051859	181051743	181757315
1	215	181757389	181757337	182441601
1	216	182441835	182441687	183167386
1	217	183167490	183167399	183907670
1	218	183908222	183907675	184629320
1	219	184630291	184629325	185405101
1	220	185406019	185405103	186097157
1	221	186097666	186097265	186821353
1	222	186821488	186821413	187530378
1	223	187530503	187530499	188205142
1	224	188205486	188205195	188830252
1	225	188834449	188830338	189453395
1	226	189454461	189453495	190083041
1	227	190083807	190083182	190824347
1	228	190824381	190824381	191578131
1	229	191579301	191578236	192344350
1	230	192345450	192344389	193107687
1	231	193107796	193107796	193829746
1	232	193829965	193829747	194450473
1	233	194450483	194450483	195091761
1	234	195093107	195091934	195810688
1	235	195810962	195810795	196514824
1	236	196514857	196514857	197187288
1	237	197187605	197187545	197982944
1	238	197983234	197982954	198731012
1	239	198731062	198731062	199486243
1	240	199486414	199486312	200198946
1	241	200199052	200199052	200959893
1	242	200960307	200959945	201600136
1	243	201600199	201600180	202344119
1	244	202344953	202344156	203141148
1	245	203141240	203141167	203793266
1	246	203793402	203793402	204490674
1	247	204491530	204490705	205164650
1	248	205165322	205164783	205897010
1	249	205897408	205897044	207089758
1	250	207089971	207089875	207870975
1	251	207871320	207870992	208565103
1	252	208565331	208565153	209218545
1	253	209218583	209218583	209883480
1	254	209883804	209883551	210603357
1	255	210603718	210603431	211271564
1	256	211271663	211271592	211987587
1	257	211988421	211987595	212738603
1	258	212738835	212738683	213475690
1	259	213481525	213475895	214184242
1	260	214187262	214184317	214853481
1	261	214853517	214853491	215596976
1	262	215597605	215597029	216281978
1	263	216282495	216281983	216972775
1	264	216972817	216972779	217574414
1	265	217575665	217574567	218281655
1	266	218282056	218281718	218983091
1	267	218983253	218983190	219727157
1	268	219727779	219727176	220463378
1	269	220463977	220463407	221146829
1	270	221147666	221146860	221843881
1	271	221844545	221843898	222555849
1	272	222555924	222555898	223313146
1	273	223313888	223313239	224056293
1	274	224056409	224056393	224881398
1	275	224881546	224881446	225616428
1	276	225617731	225616534	226408280
1	277	226408451	226408451	227165114
1	278	227165484	227165158	227847958
1	279	227847960	227847960	228559774
1	280	228559994	228559797	229274848
1	281	229275040	229275019	229957698
1	282	229957869	229957745	230589110
1	283	230589245	230589173	231238991
1	284	231239100	231239100	231955200
1	285	231955354	231955318	232597586
1	286	232597919	232597629	233274870
1	287	233276566	233274908	233910002
1	288	233910477	233910477	234560619
1	289	234560744	234560744	235293277
1	290	235293299	235293293	236030187
1	291	236030277	236030277	236657035
1	292	236657046	236657046	237270689
1	293	237270978	237270704	237922237
1	294	237922588	237922253	238551633
1	295	238551639	238551639	239179558
1	296	239181990	239179563	239865483
1	297	239865651	239865485	240480486
1	298	240480564	240480564	241123846
1	299	241125609	241123995	241751469
1	300	241751500	241751498	242368454
1	301	242369478	242368457	242985615
1	302	242986063	242985828	243858823
1	303	243859909	243858880	244543316
1	304	244543594	244543328	245236164
1	305	245236278	245236278	245833720
1	306	245833794	245833721	246399877
1	307	246399880	246399880	247027779
1	308	247027894	247027803	247637218
1	309	247637342	247637247	248236446
1	310	248236523	248236523	248872027
1	311	248872050	248872033	249240219
2	1	11320	10572	651548
2	2	651599	651599	1235124
2	3	1235479	1235313	1800649
2	4	1800837	1800758	2455365
2	5	2455442	2455442	3034699
2	6	3035224	3035005	3684034
2	7	3684342	3684071	4289873
2	8	4289912	4289912	4918229
2	9	4918630	4918316	5628260
2	10	5628925	5628365	6235112
2	11	6235208	6235144	6821410
2	12	6821547	6821543	7478033
2	13	7478190	7478045	8117077
2	14	8117195	8117155	8748466
2	15	8748466	8748466	9463605
2	16	9463635	9463635	10118861
2	17	10118909	10118909	10728932
2	18	10728972	10728950	11322866
2	19	11322957	11322957	11987649
2	20	11987662	11987662	12630957
2	21	12631328	12630968	13313983
2	22	13314160	13314063	13959890
2	23	13959910	13959910	14590242
2	24	14590345	14590249	15259610
2	25	15259684	15259621	15932657
2	26	15932699	15932672	16633591
2	27	16634003	16633592	17324062
2	28	17324086	17324086	18062946
2	29	18063035	18063035	18673347
2	30	18674801	18673410	19422814
2	31	19423207	19422920	20057283
2	32	20057597	20057331	20738131
2	33	20738199	20738162	21400305
2	34	21400661	21400308	22113954
2	35	22117173	22113990	22812229
2	36	22815727	22812300	23479049
2	37	23483850	23479063	24197254
2	38	24197402	24197279	25028390
2	39	25028416	25028415	25854733
2	40	25854816	25854816	26653272
2	41	26653457	26653309	27370750
2	42	27370970	27370751	28247790
2	43	28249207	28247994	28958669
2	44	28959965	28958681	29595014
2	45	29595021	29595021	30209124
2	46	30210685	30209125	30868470
2	47	30868678	30868499	31450413
2	48	31450522	31450449	32161241
2	49	32163855	32161378	32928136
2	50	32928952	32928469	33533006
2	51	33533803	33533110	34061439
2	52	34061865	34061444	34552184
2	53	34552608	34552202	35109489
2	54	35109857	35109540	35714775
2	55	35715069	35714778	36275091
2	56	36275226	36275106	36850713
2	57	36851079	36850754	37472526
2	58	37472804	37472527	38049638
2	59	38049855	38049647	38577780
2	60	38579024	38577790	39202939
2	61	39204040	39203016	39900337
2	62	39901746	39900377	40432337
2	63	40432391	40432391	41020022
2	64	41021181	41020087	41620028
2	65	41620948	41620050	42129833
2	66	42130121	42129848	42756798
2	67	42757324	42756805	43368986
2	68	43369767	43368990	44003983
2	69	44004010	44004010	44562513
2	70	44562534	44562534	45226307
2	71	45227154	45226308	45836143
2	72	45836156	45836156	46429073
2	73	46429278	46429144	47017329
2	74	47017364	47017349	47584473
2	75	47584622	47584481	48185340
2	76	48186708	48185359	48844995
2	77	48845247	48845031	49423293
2	78	49423914	49423379	50001247
2	79	50001979	50001273	50632122
2	80	50632721	50632252	51303553
2	81	51303555	51303555	51863976
2	82	51864263	51863994	52443002
2	83	52443586	52443026	52967041
2	84	52967438	52967084	53513501
2	85	53513643	53513643	54089425
2	86	54089857	54089577	54735611
2	87	54735637	54735637	55347209
2	88	55347347	55347214	56024230
2	89	56024335	56024335	56655329
2	90	56656020	56655491	57210312
2	91	57210911	57210369	57785500
2	92	57785631	57785529	58502202
2	93	58502233	58502233	59265278
2	94	59266050	59265383	59925984
2	95	59926130	59926096	60557970
2	96	60559206	60558020	61321705
2	97	61323840	61321863	62063115
2	98	62063341	62063202	62804014
2	99	62804327	62804022	63748104
2	100	63748284	63748211	64535875
2	101	64536193	64536026	65223849
2	102	65224295	65223851	65912690
2	103	65914087	65912852	66606606
2	104	66607003	66606611	67338576
2	105	67339454	67339058	67990625
2	106	67991846	67990686	68652885
2	107	68652913	68652888	69301754
2	108	69302028	69301761	70015361
2	109	70015491	70015491	70743594
2	110	70744008	70743642	71360904
2	111	71360973	71360946	72026318
2	112	72026348	72026348	72816659
2	113	72818000	72816714	73690039
2	114	73690467	73690188	74424276
2	115	74425427	74424340	75168610
2	116	75168664	75168633	75804667
2	117	75805048	75804747	76428656
2	118	76429274	76428726	77022213
2	119	77022467	77022236	77582426
2	120	77583963	77582452	78200220
2	121	78200451	78200238	78881835
2	122	78882118	78881873	79497723
2	123	79497779	79497779	80136830
2	124	80137331	80136905	80783308
2	125	80783634	80783355	81415831
2	126	81416774	81415917	82079642
2	127	82079762	82079648	82785446
2	128	82785935	82785465	83487678
2	129	83487831	83487727	84211439
2	130	84211813	84211635	84908662
2	131	84908811	84908671	85634598
2	132	85634654	85634654	86341802
2	133	86342206	86341884	87330806
2	134	87331686	87331686	88765249
2	135	88765255	88765255	89998098
2	136	89998601	89998133	95559717
2	137	95560541	95559789	96841992
2	138	96842653	96842058	97783408
2	139	97783657	97783649	98903794
2	140	98904034	98903884	99690336
2	141	99690408	99690408	100509213
2	142	100513153	100509229	101188039
2	143	101188373	101188086	101837761
2	144	101839448	101837976	102562583
2	145	102562771	102562731	103207324
2	146	103207806	103207340	103957621
2	147	103958764	103957648	104650706
2	148	104651836	104650712	105334373
2	149	105335047	105334394	106044956
2	150	106045085	106044967	106648054
2	151	106648073	106648072	107372680
2	152	107372773	107372717	108010886
2	153	108011159	108010949	108781755
2	154	108781858	108781840	109517162
2	155	109517666	109517301	110316227
2	156	110316469	110316255	111850400
2	157	111851198	111850401	112846360
2	158	112847164	112846368	113713155
2	159	113714944	113713191	114567186
2	160	114568764	114567235	115286503
2	161	115286875	115286534	116006678
2	162	116006772	116006767	116718637
2	163	116719864	116718654	117379211
2	164	117379329	117379329	117999238
2	165	118000021	117999332	118639312
2	166	118639317	118639317	119378901
2	167	119379115	119378972	120024819
2	168	120024865	120024865	120789406
2	169	120790006	120789558	121477413
2	170	121477487	121477435	122120283
2	171	122121173	122120293	122880421
2	172	122880731	122880731	123569291
2	173	123569597	123569338	124166133
2	174	124166482	124166247	124808263
2	175	124808705	124808300	125458764
2	176	125459031	125458792	126139937
2	177	126140231	126140000	126784345
2	178	126784642	126784479	127438392
2	179	127438431	127438431	128056737
2	180	128057560	128056869	128748157
2	181	128748238	128748175	129405697
2	182	129406137	129405721	130044657
2	183	130044891	130044679	130697850
2	184	130698301	130697887	131704095
2	185	131704529	131704096	132437228
2	186	132437246	132437246	133283536
2	187	133283538	133283538	133953516
2	188	133955265	133953678	134654800
2	189	134654880	134654852	135331371
2	190	135336998	135331428	136143493
2	191	136143628	136143628	136961391
2	192	136961419	136961419	137600965
2	193	137601077	137600988	138246696
2	194	138246706	138246706	138904989
2	195	138906323	138905097	139612350
2	196	139612593	139612434	140260087
2	197	140261700	140260104	140921829
2	198	140922100	140921837	141546030
2	199	141546037	141546037	142148160
2	200	142148511	142148306	142796424
2	201	142796449	142796448	143486793
2	202	143487083	143486960	144225918
2	203	144226581	144226047	145099557
2	204	145102809	145099792	145979829
2	205	145980522	145979846	146701372
2	206	146701385	146701383	147518075
2	207	147518313	147518089	148334191
2	208	148335033	148334199	149152094
2	209	149152114	149152114	150012501
2	210	150012637	150012514	150739307
2	211	150740332	150739343	151475537
2	212	151477785	151475612	152164926
2	213	152165921	152165013	152903704
2	214	152904731	152903738	153632579
2	215	153634584	153632707	154300296
2	216	154300765	154300297	155025664
2	217	155025767	155025730	155754624
2	218	155755238	155754933	156511060
2	219	156511426	156511326	157388400
2	220	157388525	157388462	158186653
2	221	158196018	158186665	158966018
2	222	158966186	158966023	159641297
2	223	159641444	159641433	160327910
2	224	160328111	160327928	161072478
2	225	161072544	161072544	161830884
2	226	161831394	161831060	162701005
2	227	162701153	162701087	163470585
2	228	163470629	163470624	164174606
2	229	164177178	164174617	164932310
2	230	164932374	164932374	165702352
2	231	165702813	165702497	166506626
2	232	166507302	166506729	167217799
2	233	167217864	167217840	167890157
2	234	167890266	167890266	168556066
2	235	168556404	168556140	169221864
2	236	169222490	169221878	169901061
2	237	169901621	169901099	170594911
2	238	170594973	170594973	171264213
2	239	171264482	171264230	171972229
2	240	171972620	171972236	172725477
2	241	172725981	172725626	173420633
2	242	173420746	173420645	174140307
2	243	174141002	174140329	174819713
2	244	174820750	174819737	175620849
2	245	175620935	175620889	176378028
2	246	176378833	176378067	177129260
2	247	177129407	177129392	177799255
2	248	177799409	177799409	178527978
2	249	178528090	178528089	179239833
2	250	179240213	179239908	179979709
2	251	179979930	179979767	180687849
2	252	180689498	180688055	181367379
2	253	181368021	181367523	182076995
2	254	182077202	182077172	182795186
2	255	182799275	182795256	183551597
2	256	183551636	183551633	184289546
2	257	184289576	184289576	184978132
2	258	184978155	184978155	185706021
2	259	185706202	185706134	186476058
2	260	186477480	186476111	187301772
2	261	187301974	187301787	188037679
2	262	188038939	188037712	188796627
2	263	188797372	188796740	189588449
2	264	189588756	189588539	190338599
2	265	190339632	190338622	191100699
2	266	191100723	191100723	191890852
2	267	191891571	191890982	192603249
2	268	192603278	192603278	193359509
2	269	193359511	193359511	194203838
2	270	194204026	194203852	194985352
2	271	194986654	194985393	195731351
2	272	195731523	195731370	196427334
2	273	196427621	196427474	197170977
2	274	197171060	197171040	197983501
2	275	197983900	197983512	198826534
2	276	198827896	198826605	199594432
2	277	199594874	199594461	200443963
2	278	200445603	200444003	201321793
2	279	201322028	201321810	202152623
2	280	202152797	202152797	202962144
2	281	202962310	202962243	203879773
2	282	203880834	203879802	204751199
2	283	204751870	204751322	205455620
2	284	205457884	205455638	206171474
2	285	206171668	206171668	206870986
2	286	206871201	206870987	207637540
2	287	207637985	207637659	208415699
2	288	208417248	208415763	209130815
2	289	209131796	209130936	209810903
2	290	209811742	209810938	210532509
2	291	210533416	210532543	211352379
2	292	211352413	211352413	212017222
2	293	212019474	212017358	212638862
2	294	212639437	212638934	213283737
2	295	213283749	213283749	214017613
2	296	214017668	214017668	214736633
2	297	214736656	214736656	215437176
2	298	215437189	215437189	216115434
2	299	216116017	216115457	216811753
2	300	216812359	216811787	217508439
2	301	217511100	217508450	218156034
2	302	218157056	218156048	218834403
2	303	218835438	218834621	219599214
2	304	219599268	219599254	220363649
2	305	220363917	220363656	221025283
2	306	221025443	221025300	221681899
2	307	221681937	221681906	222341727
2	308	222342040	222341769	223071641
2	309	223072019	223071752	223801706
2	310	223801918	223801708	224443108
2	311	224445917	224443346	225140392
2	312	225140708	225140442	225845897
2	313	225845945	225845945	226549196
2	314	226549797	226549252	227259295
2	315	227259665	227259513	227978032
2	316	227978479	227978050	228610335
2	317	228610384	228610349	229262350
2	318	229263633	229262379	229953853
2	319	229954080	229953986	230582641
2	320	230582774	230582665	231320582
2	321	231320587	231320587	231955204
2	322	231955545	231955279	232680710
2	323	232680767	232680751	233428674
2	324	233428740	233428683	234128851
2	325	234129508	234129046	234775941
2	326	234776456	234775986	235371855
2	327	235372124	235372043	235970056
2	328	235970170	235970170	236564597
2	329	236565206	236564617	237160114
2	330	237160908	237160450	237768913
2	331	237768988	237768988	238361862
2	332	238362615	238361958	238962984
2	333	238963241	238963199	239610436
2	334	239611505	239610475	240239328
2	335	240239434	240239434	240854899
2	336	240854935	240854935	241403919
2	337	241403955	241403955	242057292
2	338	242057938	242057371	242706911
2	339	242706920	242706920	243185846
3	1	60197	60197	523101
3	2	523235	523124	1112704
3	3	1113694	1112718	1613538
3	4	1613623	1613623	2048035
3	5	2048345	2048042	2586965
3	6	2587073	2587073	3086619
3	7	3086694	3086633	3583049
3	8	3583063	3583063	4114411
3	9	4114722	4114445	4650924
3	10	4651206	4650927	5225187
3	11	5225252	5225222	5706316
3	12	5706340	5706340	6194506
3	13	6194602	6194507	6734074
3	14	6734189	6734105	7314373
3	15	7314715	7314397	7869077
3	16	7869890	7869119	8449480
3	17	8449747	8449563	9034724
3	18	9035295	9034767	9722475
3	19	9722566	9722484	10372230
3	20	10372840	10372235	11014574
3	21	11014727	11014582	11700250
3	22	11700713	11700264	12382628
3	23	12382681	12382681	13047387
3	24	13047602	13047393	13682123
3	25	13682137	13682137	14317851
3	26	14318696	14317945	14943578
3	27	14943965	14943757	15638668
3	28	15639444	15638672	16307557
3	29	16307935	16307663	16983078
3	30	16983436	16983087	17758473
3	31	17758749	17758749	18556067
3	32	18556924	18556132	19272830
3	33	19282990	19272845	20006078
3	34	20006346	20006095	20658850
3	35	20659219	20658892	21308477
3	36	21308534	21308511	21877122
3	37	21877361	21877123	22311123
3	38	22311560	22311149	22864862
3	39	22865347	22864905	23511815
3	40	23511904	23511842	24157857
3	41	24157939	24157939	24787930
3	42	24788179	24788094	25310311
3	43	25310339	25310339	25928464
3	44	25929289	25928559	26575992
3	45	26576319	26576253	27198052
3	46	27199604	27198204	27875680
3	47	27875759	27875718	28607548
3	48	28608741	28607555	29291870
3	49	29292116	29291908	29906326
3	50	29906545	29906387	30559816
3	51	30560484	30559862	31200041
3	52	31200882	31200059	31863549
3	53	31863633	31863633	32512537
3	54	32513028	32512746	33184091
3	55	33185027	33184209	33991181
3	56	33991854	33991224	34681921
3	57	34682194	34681971	35369620
3	58	35370702	35369651	36122152
3	59	36122348	36122262	36789039
3	60	36789085	36789085	37559410
3	61	37559481	37559427	38320570
3	62	38320890	38320666	39021979
3	63	39022926	39022092	39725749
3	64	39726984	39725899	40478389
3	65	40479169	40478436	41248482
3	66	41250481	41248502	41880355
3	67	41880766	41880358	42525090
3	68	42525186	42525186	43271169
3	69	43271591	43271179	44064155
3	70	44064212	44064212	44894097
3	71	44895864	44894119	45578292
3	72	45578650	45578333	46305704
3	73	46306130	46305821	47045544
3	74	47045739	47045606	48036889
3	75	48037078	48036942	48974552
3	76	48975479	48974632	49947172
3	77	49948728	49947223	50913993
3	78	50914241	50914038	51883913
3	79	51884072	51883920	52716042
3	80	52716390	52716056	53477929
3	81	53478093	53478093	54178045
3	82	54178199	54178050	54821011
3	83	54821170	54821093	55435333
3	84	55435831	55435360	56152301
3	85	56152904	56152313	56859749
3	86	56859829	56859780	57590942
3	87	57591253	57591135	58325230
3	88	58325347	58325253	59078766
3	89	59079782	59078838	59715698
3	90	59716254	59715758	60217906
3	91	60218337	60218101	60733152
3	92	60733537	60733166	61377203
3	93	61378011	61377246	61984321
3	94	61984491	61984343	62669773
3	95	62670093	62669794	63243606
3	96	63243689	63243625	63890333
3	97	63890875	63890385	64553871
3	98	64553963	64553942	65141226
3	99	65141327	65141240	65767152
3	100	65767356	65767155	66458643
3	101	66458701	66458701	67067521
3	102	67067946	67067551	67667463
3	103	67667800	67667476	68342738
3	104	68343629	68342749	68978845
3	105	68980761	68978941	69617782
3	106	69618308	69617784	70332143
3	107	70332423	70332174	71041750
3	108	71043150	71041829	71781026
3	109	71781521	71781042	72443054
3	110	72444382	72443065	73123383
3	111	73124211	73123404	73742401
3	112	73743436	73742430	74376208
3	113	74376234	74376234	75052863
3	114	75052875	75052875	75595660
3	115	75595688	75595688	76439151
3	116	76439750	76439159	77106847
3	117	77106910	77106895	77780961
3	118	77781075	77780976	78520194
3	119	78520292	78520219	79300969
3	120	79301054	79300970	80004515
3	121	80004905	80004551	80696661
3	122	80697292	80696996	81412439
3	123	81412513	81412513	82215530
3	124	82216081	82215544	82932852
3	125	82932992	82932871	83687095
3	126	83687282	83687120	84402195
3	127	84402364	84402310	85089272
3	128	85090935	85089335	85820771
3	129	85820862	85820803	86526409
3	130	86526422	86526422	87224270
3	131	87224984	87224362	87914294
3	132	87914396	87914396	88599971
3	133	88600088	88600088	89277908
3	134	89278464	89278095	89984202
3	135	89986280	89984304	93706320
3	136	93706380	93706380	94437488
3	137	94441383	94437491	95073386
3	138	95073968	95073394	95688115
3	139	95688843	95688254	96330194
3	140	96330202	96330202	97037219
3	141	97042040	97037294	97823631
3	142	97823838	97823668	98350675
3	143	98350705	98350705	98997647
3	144	98998228	98997700	99721436
3	145	99722396	99721558	100481795
3	146	100482076	100481818	101201525
3	147	101202152	101201609	101974417
3	148	101974506	101974506	102663607
3	149	102664006	102663641	103320162
3	150	103320205	103320205	103947048
3	151	103947136	103947136	104617593
3	152	104617973	104617750	105276171
3	153	105276595	105276242	105947986
3	154	105948001	105948001	106591573
3	155	106592151	106591612	107326068
3	156	107326531	107326084	108078884
3	157	108078954	108078954	108813865
3	158	108815249	108813921	109546068
3	159	109546240	109546101	110246388
3	160	110246392	110246391	111007511
3	161	111008127	111007851	111721929
3	162	111722042	111722042	112409532
3	163	112412577	112409591	113101186
3	164	113101410	113101361	113869344
3	165	113870078	113869346	114726209
3	166	114726684	114726482	115545380
3	167	115545803	115545419	116274156
3	168	116274254	116274192	116916517
3	169	116916600	116916600	117578606
3	170	117579582	117578672	118261582
3	171	118261605	118261605	118977922
3	172	118977946	118977941	119662211
3	173	119662535	119662245	120415483
3	174	120419673	120415492	121115874
3	175	121116742	121115922	121939454
3	176	121939743	121939514	122699200
3	177	122700138	122699256	123393101
3	178	123393133	123393133	124134461
3	179	124135687	124134538	124822274
3	180	124822303	124822290	125485934
3	181	125485946	125485946	126030523
3	182	126031269	126030536	126761759
3	183	126761939	126761770	127431210
3	184	127431401	127431259	128172207
3	185	128172356	128172274	128898636
3	186	128901376	128898666	129640015
3	187	129641924	129640170	130239405
3	188	130239724	130239576	130997336
3	189	130997402	130997402	131674783
3	190	131674826	131674796	132391202
3	191	132391213	132391213	133071095
3	192	133071425	133071137	133752965
3	193	133752968	133752968	134472067
3	194	134474874	134472208	135195559
3	195	135197877	135195571	135960503
3	196	135961031	135960511	136806284
3	197	136806292	136806292	137583350
3	198	137584058	137583500	138378611
3	199	138378748	138378748	139193321
3	200	139193794	139193435	139916607
3	201	139916747	139916747	140591419
3	202	140591511	140591488	141306375
3	203	141308454	141306416	142032597
3	204	142033531	142032695	142811438
3	205	142812637	142811507	143468232
3	206	143468567	143468305	144161469
3	207	144161939	144161739	144812875
3	208	144815506	144813040	145490033
3	209	145490372	145490152	146120210
3	210	146120324	146120257	146815262
3	211	146815641	146815380	147602069
3	212	147602431	147602074	148316279
3	213	148316359	148316304	148999975
3	214	149000041	149000041	149723673
3	215	149724817	149723683	150504558
3	216	150506059	150504565	151215104
3	217	151215470	151215147	151928887
3	218	151929158	151928930	152683510
3	219	152683686	152683590	153388472
3	220	153388774	153388532	154099742
3	221	154100140	154099782	154810455
3	222	154810841	154810580	155541468
3	223	155542081	155541557	156277900
